code,number,team,name,category,source_url
"COL 2","2","Colombia","Camilo Vargas","Jugador","https://scanini.app/es/teams/colombia"
"COL 3","3","Colombia","David Ospina","Jugador","https://scanini.app/es/teams/colombia"
"COL 4","4","Colombia","Dávinson Sánchez","Jugador","https://scanini.app/es/teams/colombia"
"COL 5","5","Colombia","Yerry Mina","Jugador","https://scanini.app/es/teams/colombia"
"COL 6","6","Colombia","Daniel Munoz","Jugador","https://scanini.app/es/teams/colombia"
"COL 7","7","Colombia","Johan Mojica","Jugador","https://scanini.app/es/teams/colombia"
"COL 8","8","Colombia","Jhon Lucumí","Jugador","https://scanini.app/es/teams/colombia"
"COL 9","9","Colombia","Santiago Arias","Jugador","https://scanini.app/es/teams/colombia"
"COL 10","10","Colombia","Jefferson Lerma","Jugador","https://scanini.app/es/teams/colombia"
"COL 11","11","Colombia","Kevin Castaño","Jugador","https://scanini.app/es/teams/colombia"
"COL 12","12","Colombia","Richard Rios","Jugador","https://scanini.app/es/teams/colombia"
"COL 13","13","Colombia","Foto del equipo de Colombia","Equipo","https://scanini.app/es/teams/colombia"
"COL 14","14","Colombia","James Rodriguez","Jugador","https://scanini.app/es/teams/colombia"
"COL 15","15","Colombia","Juan Fernando Quintero","Jugador","https://scanini.app/es/teams/colombia"
"COL 16","16","Colombia","Jorge Carrascal","Jugador","https://scanini.app/es/teams/colombia"
"COL 17","17","Colombia","Jon Arias","Jugador","https://scanini.app/es/teams/colombia"
"COL 18","18","Colombia","Jhon Cordova","Jugador","https://scanini.app/es/teams/colombia"
"COL 19","19","Colombia","Luis Suarez","Jugador","https://scanini.app/es/teams/colombia"
"COL 20","20","Colombia","Luis Diaz","Jugador","https://scanini.app/es/teams/colombia"
"CPV 1","1","Cape Verde","Escudo de Cape Verde","Escudo","https://scanini.app/es/teams/cape-verde"
"CPV 2","2","Cape Verde","Vozinha","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 3","3","Cape Verde","Logan Costa","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 4","4","Cape Verde","Pico","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 5","5","Cape Verde","Diney","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 6","6","Cape Verde","Steven Moreira","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 7","7","Cape Verde","Wagner Pina","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 8","8","Cape Verde","Joao Paulo","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 9","9","Cape Verde","Yannick Semedo","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 10","10","Cape Verde","Kevin Pina","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 11","11","Cape Verde","Patrick Andrade","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 12","12","Cape Verde","Jamiro Monteiro","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 13","13","Cape Verde","Foto del equipo de Cape Verde","Equipo","https://scanini.app/es/teams/cape-verde"
"CPV 14","14","Cape Verde","Deroy Duarte","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 15","15","Cape Verde","Garry Rodrigues","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 16","16","Cape Verde","Jovane Cabral","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 17","17","Cape Verde","Ryan Mendes","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 18","18","Cape Verde","Dailon Livramento","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 19","19","Cape Verde","Willy Semedo","Jugador","https://scanini.app/es/teams/cape-verde"
"CPV 20","20","Cape Verde","Bebe","Jugador","https://scanini.app/es/teams/cape-verde"
"CRO 1","1","Croatia","Escudo de Croatia","Escudo","https://scanini.app/es/teams/croatia"
"CRO 2","2","Croatia","Dominik Livaković","Jugador","https://scanini.app/es/teams/croatia"
"CRO 3","3","Croatia","Duje Caleta-Car","Jugador","https://scanini.app/es/teams/croatia"
"CRO 4","4","Croatia","Josko Gvardiol","Jugador","https://scanini.app/es/teams/croatia"
"CRO 5","5","Croatia","Josip Stanišić","Jugador","https://scanini.app/es/teams/croatia"
"CRO 6","6","Croatia","Luka Vušković","Jugador","https://scanini.app/es/teams/croatia"
"CRO 7","7","Croatia","Josip Sutalo","Jugador","https://scanini.app/es/teams/croatia"
"CRO 8","8","Croatia","Kristijan Jakic","Jugador","https://scanini.app/es/teams/croatia"
"CRO 9","9","Croatia","Luka Modrić","Jugador","https://scanini.app/es/teams/croatia"
"CRO 10","10","Croatia","Mateo Kovacic","Jugador","https://scanini.app/es/teams/croatia"
"CRO 11","11","Croatia","Martin Baturina","Jugador","https://scanini.app/es/teams/croatia"
"CRO 12","12","Croatia","Lovro Majer","Jugador","https://scanini.app/es/teams/croatia"
"CRO 13","13","Croatia","Foto del equipo de Croatia","Equipo","https://scanini.app/es/teams/croatia"
"CRO 14","14","Croatia","Mario Pasalic","Jugador","https://scanini.app/es/teams/croatia"
"CRO 15","15","Croatia","Petar Sucic","Jugador","https://scanini.app/es/teams/croatia"
"CRO 16","16","Croatia","Ivan Perišić","Jugador","https://scanini.app/es/teams/croatia"
"CRO 17","17","Croatia","Marco Pasalic","Jugador","https://scanini.app/es/teams/croatia"
"CRO 18","18","Croatia","Ante Budimir","Jugador","https://scanini.app/es/teams/croatia"
"CRO 19","19","Croatia","Andrej Kramarić","Jugador","https://scanini.app/es/teams/croatia"
"CRO 20","20","Croatia","Franjo Ivanovic","Jugador","https://scanini.app/es/teams/croatia"
"CUW 1","1","Curaçao","Escudo de Curaçao","Escudo","https://scanini.app/es/teams/curacao"
"CUW 2","2","Curaçao","Eloy Room","Jugador","https://scanini.app/es/teams/curacao"
"CUW 3","3","Curaçao","Armando Obispo","Jugador","https://scanini.app/es/teams/curacao"
"CUW 4","4","Curaçao","Sherel Floranus","Jugador","https://scanini.app/es/teams/curacao"
"CUW 5","5","Curaçao","Jurien Gaari","Jugador","https://scanini.app/es/teams/curacao"
"CUW 6","6","Curaçao","Joshua Brenet","Jugador","https://scanini.app/es/teams/curacao"
"CUW 7","7","Curaçao","Roshon Van Eijma","Jugador","https://scanini.app/es/teams/curacao"
"CUW 8","8","Curaçao","Shurandy Sambo","Jugador","https://scanini.app/es/teams/curacao"
"CUW 9","9","Curaçao","Livano Comenencia","Jugador","https://scanini.app/es/teams/curacao"
"CUW 10","10","Curaçao","Godfried Roemeratoe","Jugador","https://scanini.app/es/teams/curacao"
"CUW 11","11","Curaçao","Juninho Bacuna","Jugador","https://scanini.app/es/teams/curacao"
"CUW 12","12","Curaçao","Leandro Bacuna","Jugador","https://scanini.app/es/teams/curacao"
"CUW 13","13","Curaçao","Foto del equipo de Curaçao","Equipo","https://scanini.app/es/teams/curacao"
"CUW 14","14","Curaçao","Tahith Chong","Jugador","https://scanini.app/es/teams/curacao"
"CUW 15","15","Curaçao","Kenji Gorre","Jugador","https://scanini.app/es/teams/curacao"
"CUW 16","16","Curaçao","Jearl Margaritha","Jugador","https://scanini.app/es/teams/curacao"
"CUW 17","17","Curaçao","Jurgen Locadia","Jugador","https://scanini.app/es/teams/curacao"
"CUW 18","18","Curaçao","Jeremy Antonisse","Jugador","https://scanini.app/es/teams/curacao"
"CUW 19","19","Curaçao","Gervane Kastaneer","Jugador","https://scanini.app/es/teams/curacao"
"CUW 20","20","Curaçao","Sontje Hansen","Jugador","https://scanini.app/es/teams/curacao"
"CZE 1","1","Czechia","Escudo de Czechia","Escudo","https://scanini.app/es/teams/czechia"
"CZE 2","2","Czechia","Matej Kovar","Jugador","https://scanini.app/es/teams/czechia"
"CZE 3","3","Czechia","Jindrich Stanek","Jugador","https://scanini.app/es/teams/czechia"
"CZE 4","4","Czechia","Ladislav Krejci","Jugador","https://scanini.app/es/teams/czechia"
"CZE 5","5","Czechia","Vladimir Coufal","Jugador","https://scanini.app/es/teams/czechia"
"CZE 6","6","Czechia","Jaroslav Zeleny","Jugador","https://scanini.app/es/teams/czechia"
"CZE 7","7","Czechia","Tomas Holes","Jugador","https://scanini.app/es/teams/czechia"
"CZE 8","8","Czechia","David Zima","Jugador","https://scanini.app/es/teams/czechia"
